,symbol,open,close,high,low,volume,relative_strength,relative_strength_sp500,rank
0,SRRA,54.8499984741,54.8800010681,54.9199981689,54.7999992371,117100,1.5341077329,1.4851855561,1.00
1,RCMT,25.1100006104,24.7199993134,25.2800006866,23.3099994659,187500,2.2857997925,2.2129064103,1.00
2,CEIX,52.9099998474,52.9099998474,54.2400016785,51.2200012207,542700,1.4481893032,1.4489223477,1.00
3,PVL,5.4000000954,5.6799998283,5.6900000572,5.4000000954,477100,1.5862694140,1.5870723519,1.00
4,CRK,19.7900009155,20.0599994659,20.4699993134,19.4500007629,2188000,1.5643908817,1.5651827452,1.00
5,AR,45.0900001526,45.0800018311,45.9599990845,43.6500015259,6667807,1.4856532808,1.4864052888,1.00
6,BORR,6.1500000954,6.1100001335,6.4200000763,5.8800001144,945900,1.5535919105,1.5543783077,1.00
7,HPK,34.8699989319,35.7599983215,36.5169982910,33.7500000000,355300,1.5433477034,1.4941308672,1.00
8,BPT,24.1399993896,24.8299999237,25.8299999237,23.5100002289,679000,2.0086444688,2.0096612045,1.00
9,HPKEW,24.8799991608,23.0799999237,24.8799991608,23.0799999237,900,2.0323950397,1.9675826493,1.00
10,HDSN,9.6300001144,9.7200002670,9.8199996948,9.3199996948,1030300,1.5171081745,1.4687281080,1.00
11,AMR,164.1399993896,159.9499969482,168.5399932861,156.7100067139,767188,1.7817980126,1.7826999232,1.00
12,BTU,25.5400009155,26.0799999237,27.1569995880,25.1499996185,4255600,1.5672849241,1.5680782524,1.00
13,SJT,13.2600002289,13.4499998093,14.0100002289,12.9700002670,1251300,1.4906897514,1.4914443088,1.00
14,STNG,35.0200004578,37.0299987793,37.3499984741,35.0200004578,1323100,1.4432587515,1.4439893003,1.00
15,MIC,3.7999999523,3.8099999428,3.8199999332,3.7799999714,1930300,3.7585589154,3.7604614229,1.00
16,PBT,22.1200008392,21.3400001526,23.0799999237,20.7399997711,535000,1.5873047964,1.5881082584,1.00
17,SD,26.0000000000,26.8700008392,27.3799991608,25.6000003815,906500,1.5511935875,1.5519787707,1.00
18,SWN,9.1899995804,9.1000003815,9.3400001526,8.8800001144,37449600,1.2841614025,1.2848114193,0.99
19,SOGU,54.4199981689,56.1599998474,56.1599998474,53.2200012207,32700,1.3641842485,1.3206808742,0.99
20,SMHI,8.6599998474,8.5399999619,8.9399995804,8.5000000000,48900,1.3049196854,1.3055802097,0.99
21,SM,51.0000000000,50.5600013733,52.3899993896,49.2799987793,1388200,1.2895746135,1.2902273704,0.99
22,SGML,16.0000000000,17.0300006866,17.0599994659,15.6199998856,294000,1.4864360300,1.4390340878,0.99
23,BLU,8.0100002289,8.1000003815,8.1599998474,7.7699999809,598800,1.3234900966,1.2812844450,0.99
24,SBR,85.4700012207,83.3199996948,86.7900009155,81.0400009155,121700,1.3208718582,1.3215404571,0.99
25,VRTV,145.8999938965,143.2400054932,147.7299957275,142.9700012207,80400,1.2764959686,1.2771421054,0.99
26,SBOW,44.7500000000,45.6399993896,46.1100006104,43.5999984741,258300,1.3384703392,1.3391478462,0.99
27,RRC,34.5999984741,34.4399986267,35.3800010681,33.5000000000,3669200,1.2829868408,1.2836362632,0.99
28,ROCC,49.7400016785,49.6800003052,51.0400009155,47.5999984741,817000,1.3128175515,1.2709522438,0.99
29,VLO,142.0000000000,140.5099945068,143.3200073242,138.3899993896,4770800,1.3025062618,1.3025062618,0.99
30,RENN,29.3899993896,28.9799995422,29.3899993896,28.6200008392,102400,1.3909547391,1.3916588126,0.99
31,VHI,50.0000000000,47.3800010681,50.0000000000,45.7999992371,57900,1.3768455726,1.3775425044,0.99
32,CHKEL,69.3499984741,70.6299972534,71.1399993896,67.6800003052,51600,1.4360274806,1.3902330500,0.99
33,CHKEW,77.5400009155,79.0999984741,79.5999984741,76.4199981689,12700,1.3839166302,1.3397839969,0.99
34,CHKEZ,72.9100036621,74.6100006104,74.8600006104,72.3899993896,5500,1.4149103166,1.3697893052,0.99
35,AMPY,8.7399997711,9.1099996567,9.2399997711,8.6199998856,901599,1.3773858047,1.3780830099,0.99
36,PRPH,11.3000001907,11.0100002289,11.5399999619,10.6499996185,110700,1.4400725782,1.3941491508,0.99
37,PDS,80.8099975586,80.0899963379,81.8000030518,77.5999984741,70900,1.3002495342,1.3009076946,0.99
38,WTI,8.4600000381,8.4600000381,8.7799997330,8.2200002670,4517500,1.3560175575,1.3567039465,0.99
39,APTS,24.8799991608,24.9200000763,24.9300003052,24.8799991608,820841,1.2707331965,1.2713764163,0.99
40,PBF,41.3400001526,40.3300018311,41.5900001526,39.4099998474,3695800,1.4412977680,1.4420273241,0.99
41,CPG,10.2700004578,10.2700004578,10.4899997711,9.9899997711,16331800,1.3303147483,1.3309881270,0.99
42,OXY,64.8199996948,63.8699989319,66.1200027466,62.9000015259,27407900,1.2702181649,1.2708611240,0.99
43,NRT,19.1900005341,18.6499996185,19.1900005341,17.8299999237,45700,1.3867987338,1.3875007037,0.99
44,NRP,47.2799987793,46.8300018311,47.2799987793,46.3400001526,27600,1.2805044697,1.2811526355,0.99
45,CTIC,5.9099998474,5.9499998093,6.1599998474,5.7399997711,4084000,1.4775995614,1.4304794111,0.99
46,NOG,36.7400016785,37.0200004578,37.4599990845,36.0099983215,1720700,1.2885855672,1.2892378235,0.99
47,ARCH,164.5000000000,170.1199951172,171.5200042725,162.0000000000,632191,1.3359537542,1.3366299873,0.99
48,NEX,11.4200000763,11.0900001526,11.6300001144,10.7200002670,4756500,1.3548338107,1.3555196005,0.99
49,CVE,23.8500003815,23.5300006866,23.9899997711,23.1700000763,7203500,1.3612073663,1.3618963823,0.99
50,NC,51.5000000000,50.4799995422,52.9000015259,48.6199989319,102800,1.3259235131,1.3265946691,0.99
51,CVI,41.4300003052,41.4500007629,42.2900009155,40.5000000000,631300,1.4034477482,1.4041581454,0.99
52,MRO,30.6800003052,30.2900009155,31.3299999237,29.9099998474,16596400,1.2928860299,1.2935404630,0.99
53,METC,16.3500003815,17.3400001526,17.4500007629,16.2000007629,1109100,1.3751221084,1.3312699295,0.99
54,KOS,8.0399999619,8.0000000000,8.1999998093,7.7899999619,7670800,1.3402907743,1.3409692028,0.99
55,LNTH,65.0199966431,63.8499984741,65.2500000000,61.2700004578,1981800,1.3698270003,1.3261436806,0.99
56,ARLP,19.8500003815,19.5499992371,20.1898994446,19.3299999237,485849,1.4028013388,1.3580664786,0.99
57,DINO,57.2400016785,56.3699989319,57.6399993896,56.3300018311,2555400,1.2719694633,1.2726133089,0.99
58,VET,23.6299991608,23.2399997711,24.0000000000,22.6499996185,3136300,1.3457265141,1.3464076940,0.99
59,DMLP,30.5599994659,31.7199993134,31.8899993896,30.5599994659,112800,1.3197468793,1.2776605977,0.99
60,HNRG,5.7399997711,6.5500001907,6.7899999619,5.6300001144,1093400,1.4425531906,1.3965506573,0.99
61,DVN,75.7900009155,74.0599975586,76.2300033569,72.4800033569,14759700,1.3055626336,1.3062234834,0.99
62,EGY,7.8299999237,8.1099996567,8.1800003052,7.7199997902,1344500,1.3593968357,1.3600849353,0.99
63,GLOP,7.0599999428,6.8000001907,7.1999998093,6.6900000572,801300,1.3568386425,1.3575254471,0.99
64,ESTE,20.6499996185,20.8600006104,21.3600006104,19.9400005341,1344900,1.3454293782,1.3461104077,0.99
65,ASC,7.5100002289,7.6199998856,7.7600002289,7.4099998474,402883,1.3555082634,1.3561943946,0.99
66,ERF,17.5200004578,17.6100006104,17.9200000763,17.2199993134,2862200,1.3423558035,1.3430352772,0.99
67,EQT,47.5999984741,47.9599990845,48.6699981689,46.9199981689,4564900,1.4058874705,1.4065991027,0.99
68,VTNR,15.8599996567,16.0499992371,16.3299999237,15.5200004578,3530500,1.4876542070,1.4402134175,0.99
69,TWI,18.2700004578,17.8199996948,18.7000007629,17.6000003815,514600,1.2805662593,1.2812144564,0.99
70,TRMD,13.1499996185,13.4600000381,13.6599998474,13.0900001526,252200,1.3301283313,1.2877109887,0.99
71,TGA,4.7600002289,4.6500000954,4.8499999046,4.5500001907,1002100,1.3395136954,1.2967970567,0.99
72,TDW,25.5799999237,26.5100002289,26.9200000763,25.0900001526,445400,1.2944251486,1.2950803608,0.99
73,TH,6.5700001717,6.5999999046,6.7399997711,6.4400000572,216800,1.2556623903,1.2156197414,0.98
74,HHS,10.5500001907,10.8400001526,10.9099998474,10.4499998093,42600,1.2984475846,1.2570405303,0.98
75,APA,49.1399993896,48.8100013733,49.8199996948,47.7200012207,6435794,1.3102473447,1.2684640000,0.98
76,ASRT,3.0000000000,3.1099998951,3.1500000954,2.9700000286,762773,1.3106184022,1.2688232247,0.98
77,BSM,16.5000000000,16.6800003052,16.9899997711,16.4099998474,657300,1.2370511452,1.2376773158,0.98
78,CC,41.0400009155,40.7099990845,41.5900001526,40.1699981689,1338000,1.2070352045,1.2076461816,0.98
79,CHK,96.7300033569,98.1699981689,98.7300033569,95.0260009766,1416300,1.2448761401,1.2051774610,0.98
80,CIVI,80.3600006104,80.6600036621,81.6900024414,78.1100006104,783800,1.2528817151,1.2535158989,0.98
81,CLR,70.5599975586,70.4899978638,71.9100036621,69.2300033569,1508100,1.2301951168,1.2308178170,0.98
82,CNX,22.9599990845,23.2399997711,23.3899993896,22.6700000763,2056600,1.2073892670,1.2080004233,0.98
83,COP,117.0000000000,116.8300018311,119.6399993896,115.3000030518,7165736,1.2325921716,1.2325921716,0.98
84,CRT,19.6900005341,19.2700004578,20.3700008392,19.0499992371,77500,1.2468436677,1.2474747951,0.98
85,CTRA,34.4500007629,34.3100013733,35.1300010681,33.8800010681,7495513,1.2587901246,1.2587901246,0.98
86,DDS,310.2000122070,302.5899963379,310.2000122070,297.9800109863,170000,1.2058014826,1.2064118352,0.98
87,DK,33.5999984741,33.3899993896,34.0299987793,32.8800010681,1906600,1.2437211456,1.2443506924,0.98
88,EOG,141.8000030518,144.0000000000,145.8000030518,140.7899932861,5527700,1.2172839591,1.2179001240,0.98
89,FANG,155.2100067139,155.4900054932,158.0399932861,152.8899993896,2074600,1.2534480076,1.2134759746,0.98
90,GPOR,103.3899993896,104.3700027466,105.2600021362,101.6100006104,130000,1.2269917217,1.2276128004,0.98
91,HCC,36.0000000000,36.3199996948,36.8549995422,35.4099998474,851200,1.2126732784,1.2132871094,0.98
92,HP,49.8400001526,49.5499992371,50.9700012207,47.9300003052,981200,1.2130389981,1.2136530143,0.98
93,HRB,35.3699989319,35.4500007629,35.7799987793,35.0000000000,1744700,1.2134771694,1.2140914073,0.98
94,JKS,61.0099983215,62.1100006104,63.3499984741,60.2799987793,1031400,1.2160453620,1.2166608999,0.98
95,MGY,28.8700008392,28.7999992371,29.1599998474,28.2600002289,1769000,1.2448926623,1.2455228022,0.98
96,MN,12.5000000000,12.5200004578,12.5500001907,12.5000000000,73100,1.2576967898,1.2583334108,0.98
97,MPC,109.2699966431,108.3399963379,110.8899993896,106.9700012207,7420300,1.2461808523,1.2468116441,0.98
98,MSP,35.0099983215,34.9599990845,35.0699996948,34.8600006104,910200,1.2077487966,1.2083601350,0.98
99,MTDR,65.5000000000,65.2300033569,67.6999969482,63.9300003052,1644000,1.2462510964,1.2468819239,0.98
100,MUR,43.7700004578,44.1500015259,45.2999992371,43.2500000000,1200600,1.2242499556,1.2248696465,0.98
101,MUSA,239.0000000000,237.9600067139,241.0399932861,237.1300048828,267300,1.2392963318,1.2399236389,0.98
102,MVO,12.1499996185,12.3599996567,12.3999996185,12.0100002289,47600,1.2214372676,1.2220555348,0.98
103,OAS,173.0500030518,176.3399963379,178.5700073242,171.5700073242,205200,1.2711171261,1.2305816309,0.98
104,OVV,59.0000000000,59.1399993896,61.1100006104,58.1100006104,2397900,1.2353042869,1.2359295733,0.98
105,PDCE,85.1299972534,84.1299972534,85.7300033569,82.2600021362,1391300,1.2577363659,1.2176275786,0.98
106,PME,1.0000000000,1.0599999428,1.1200000048,1.0000000000,285000,1.3051970515,1.2635747590,0.98
107,PNRG,97.6500015259,97.5000000000,100.2399978638,95.9199981689,7900,1.2678029076,1.2273731017,0.98
108,PTEN,18.2399997711,18.1900005341,18.8099994659,17.6100006104,3480300,1.2937881766,1.2525297093,0.98
109,RELL,14.7500000000,14.7500000000,14.9700002670,14.5500001907,53500,1.2592796716,1.2191216688,0.98
110,RTLR,17.5200004578,17.4500007629,17.7600002289,17.1900005341,350800,1.2582487929,1.2181236645,0.98
111,SQM,94.0500030518,96.0400009155,96.7699966431,91.9100036621,1670000,1.2604966370,1.2611346752,0.98
112,SU,41.2299995422,41.3100013733,41.8199996948,40.6899986267,6527100,1.2386420602,1.2392690361,0.98
113,TALO,23.6499996185,23.6900005341,24.5400009155,23.0300006866,1322000,1.2411419483,1.2417701896,0.98
114,TNK,19.8999996185,20.6599998474,20.7600002289,19.5900001526,259300,1.2264190525,1.2270398413,0.98
115,TRQ,28.5699996948,28.8299999237,29.0499992371,28.4200000763,496400,1.2484107401,1.2490426607,0.98
116,TTI,5.3699998856,5.2199997902,5.4600000381,5.0599999428,1539800,1.2287906586,1.2294126479,0.98
117,VAL,55.5299987793,56.0400009155,58.1899986267,54.5099983215,1128500,1.2516409756,1.2522745313,0.98
118,VOC,8.6400003433,8.3000001907,8.6400003433,8.1999998093,178000,1.2629789128,1.2636182075,0.98
119,WFRD,35.2299995422,34.2299995422,35.2299995422,33.3199996948,473000,1.2649314514,1.2245932153,0.98
120,WLL,97.5999984741,99.2500000000,100.6100006104,96.5299987793,288800,1.2239938384,1.2246133997,0.98
121,PCOM,24.4599990845,24.5900001526,24.7900009155,24.4400005341,232600,1.2397396267,1.2002047493,0.97
122,COMT,45.7200012207,45.6399993896,45.7910003662,45.1199989319,625900,1.2100602716,1.1714718589,0.97
123,INSW,22.9599990845,23.9799995422,24.0499992371,22.7199993134,410700,1.1724423451,1.1730358120,0.97
124,NL,9.1000003815,9.0100002289,9.1000003815,8.8299999237,24100,1.1612879487,1.1618757695,0.97
125,XOM,101.9400024414,100.4599990845,103.3499984741,99.7900009155,30950500,1.1968339994,1.1974398129,0.97
126,WEYS,28.3299999237,30.1100006104,30.3600006104,28.3299999237,47800,1.2034974135,1.1651182880,0.97
127,FTXN,30.4899997711,30.2099990845,30.8600006104,29.7900009155,193300,1.2192055939,1.1803255399,0.97
128,DLNG,3.7999999523,3.8099999428,3.9990000725,3.7200000286,96200,1.1611755055,1.1617632693,0.97
129,KRP,19.2800006866,19.3700008392,19.5699996948,18.8299999237,253700,1.1863300149,1.1869305115,0.97
130,FGBI,26.6599998474,26.5200004578,26.7099990845,26.2099990845,35000,1.2141811361,1.1754613104,0.97
131,ENLC,11.0299997330,10.7500000000,11.1499996185,10.5799999237,2422900,1.1991523241,1.1997593111,0.97
132,EPSN,7.0000000000,6.9899997711,7.0300002098,6.9499998093,216200,1.2222102017,1.1832343318,0.97
133,JMSB,27.3299999237,27.9300003052,28.2250003815,27.3299999237,73500,1.2199335685,1.1810302996,0.97
134,AVD,23.7099990845,23.1399993896,23.7600002289,22.4599990845,782822,1.1619476123,1.1625357670,0.97
135,TECK,42.8199996948,42.2799987793,43.2500000000,41.6399993896,5019600,1.1727879650,1.1733816068,0.97
136,AZPN,194.1499938965,196.0000000000,197.1300048828,192.0899963379,112500,1.2410232254,1.2014474145,0.97
137,HES,125.5599975586,127.7200012207,129.3699951172,124.1500015259,3044800,1.1895624477,1.1901645805,0.97
138,SWX,90.1500015259,91.8899993896,92.5100021362,90.0000000000,216000,1.1668205276,1.1674111489,0.97
139,SWCH,33.5499992371,33.5400009155,33.6399993896,33.5299987793,3096700,1.1896826765,1.1902848701,0.97
140,CYTK,39.1199989319,39.5000000000,40.3199996948,37.9000015259,689500,1.2135075755,1.1748092294,0.97
141,STON,3.4300000668,3.4400000572,3.4800000191,3.4300000668,299300,1.1878046968,1.1884059399,0.97
142,MNRL,32.0699996948,32.1599998474,32.8199996948,31.4699993134,842200,1.1996131922,1.2002204124,0.97
143,MNTK,13.5900001526,13.6300001144,13.8500003815,13.3500003815,301000,1.1995038044,1.1612520338,0.97
144,SOI,13.1599998474,13.8000001907,13.8500003815,12.8800001144,464800,1.1937046028,1.1943088322,0.97
145,BIS,30.8799991608,31.4099998474,31.7900009155,30.8799991608,70500,1.2195405043,1.1806497701,0.97
146,SIMO,91.5500030518,91.0400009155,92.1399993896,90.8600006104,229300,1.2146215333,1.1758876634,0.97
